ENSID	RatiosMoys_.MT2_SC._vs_.MT2_PMO.	Symbol	Description	pval_DEseq2	RatiosMoys_.MT2_SC._vs_.MT2_PMO.	Delta_DEseq2	pval_edgeR	RatiosMoys_.MT2_SC._vs_.MT2_PMO.	Delta_edgeR	pval_Voom	RatiosMoys_.MT2_SC._vs_.MT2_PMO.	Delta_Voom	Flags_.MT2_PMO.	Flags_.MT2_SC.	Flags_tot
ENSG00000000005	1.7332361	TNMD	tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]				 8,882193e-03	1,7332361	  0,4877353	4,164824e-02	1,7091890	  0,4884556	 1	 2	 3
ENSG00000001626	0.5719111	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	1,589601e-08	0,5719111	 116,57434	 3,125981e-13	0,5701027	  5,6125791	5,744340e-05	0,5709326	  5,6118585	 3	 3	 6
ENSG00000002587	0.6163782	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	1,276423e-04	0,6163782	  57,48639	 3,619731e-07	0,6144620	  2,7699734	3,309392e-04	0,6158226	  2,7692529	 3	 3	 6
ENSG00000003137	1.6213150	CYP26B1	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]	2,467502e-05	1,6213150	 100,24367	 7,410083e-10	1,6151107	  4,7611707	7,826457e-03	1,6133360	  4,7618908	 3	 3	 6
ENSG00000005961	1.5046521	ITGA2B	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	2,648221e-03	1,5046521	  73,24071							 3	 3	 6
ENSG00000006128	0.3429945	TAC1	tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]	4,364191e-04	0,3429945	  24,75124	 4,394173e-08	0,3426252	  1,1858300	1,221518e-02	0,3514982	  1,1851096	 3	 0	 3
ENSG00000008517	0.5478688	IL32	interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]	3,131278e-21	0,5478688	 665,17829	 3,414307e-39	0,5461876	 32,0204785	1,769132e-04	0,5463493	 32,0197567	 3	 3	 6
ENSG00000009765	1.6454142	IYD	iodotyrosine deiodinase [Source:HGNC Symbol;Acc:HGNC:21071]				 4,848262e-03	1,6454142	  0,6354799				 1	 3	 4
ENSG00000010610	1.5166406	CD4	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	1,302891e-04	1,5166406	  92,85752	 3,209885e-08	1,5118704	  4,4127349	1,183024e-02	1,5105580	  4,4134550	 3	 3	 6
ENSG00000010932	1.6823708	FMO1	flavin containing dimethylaniline monoxygenase 1 [Source:HGNC Symbol;Acc:HGNC:3769]	2,915435e-02	1,6823708	 466,29023	 4,179566e-27	1,6761210	 22,1781069	4,400725e-02	1,6756575	 22,1788262	 3	 3	 6
ENSG00000011347	0.5407566	SYT7	synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514]	3,802541e-11	0,5407566	 201,91503	 5,144426e-21	0,5393184	  9,7099254	8,985038e-04	0,5398671	  9,7092046	 3	 3	 6
ENSG00000011422	0.6250481	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	8,080344e-05	0,6250481	  85,14399	 7,873877e-09	0,6234953	  4,0976344	1,148239e-02	0,6243750	  4,0969138	 3	 3	 6
ENSG00000012779	0.6641730	ALOX5	arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]	1,854304e-02	0,6641730	  24,69469	 9,111133e-04	0,6620250	  1,1916858	5,174928e-03	0,6644723	  1,1909654	 3	 3	 6
ENSG00000013293	1.5246534	SLC7A14	solute carrier family 7 member 14 [Source:HGNC Symbol;Acc:HGNC:29326]	5,848393e-03	1,5246534	  50,88659	 8,471266e-06	1,5198923	  2,4182062				 3	 3	 6
ENSG00000015285	1.7208665	WAS	WASP actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12731]	1,914357e-02	1,7208665	  19,24906	 6,379023e-04	1,7150795	  0,9158811	1,496143e-02	1,7027100	  0,9166015	 3	 3	 6
ENSG00000015413	1.5354465	DPEP1	dipeptidase 1 [Source:HGNC Symbol;Acc:HGNC:3002]	2,549365e-05	1,5354465	 112,03830	 2,462806e-09	1,5299051	  5,3195454	6,559692e-03	1,5287354	  5,3202655	 3	 3	 6
ENSG00000021488	1.7179293	SLC7A9	solute carrier family 7 member 9 [Source:HGNC Symbol;Acc:HGNC:11067]				 3,391520e-03	1,7179293	  0,6023360	2,816602e-02	1,6991460	  0,6030563	 1	 3	 4
ENSG00000023445	0.5800715	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	3,751768e-07	0,5800715	  90,21237	 7,554059e-11	0,5782228	  4,3453697	1,195435e-05	0,5792553	  4,3446491	 3	 3	 6
ENSG00000028277	0.5033180	POU2F2	POU class 2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9213]	7,053486e-04	0,5033180	  32,81983	 8,112026e-07	0,5018827	  1,5781952	3,583921e-03	0,5057867	  1,5774748	 3	 3	 6
ENSG00000039537	1.7860163	C6	complement C6 [Source:HGNC Symbol;Acc:HGNC:1339]	1,170811e-02	1,7860163	  34,62849	 5,282618e-06	1,7778071	  1,6460018				 3	 3	 6
ENSG00000049249	0.2782705	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	6,954870e-09	0,2782705	  57,13235	 1,538656e-18	0,2775774	  2,7396265	1,544809e-03	0,2822286	  2,7389060	 3	 3	 6
ENSG00000053108	0.6439766	FSTL4	follistatin like 4 [Source:HGNC Symbol;Acc:HGNC:21389]	9,400212e-03	0,6439766	  29,75753	 2,684062e-04	0,6420515	  1,4345263	7,408025e-03	0,6443231	  1,4338058	 3	 3	 6
ENSG00000053747	0.5427930	LAMA3	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]	1,325120e-04	0,5427930	  47,58290	 9,219719e-08	0,5414508	  2,2875773	1,905853e-03	0,5437509	  2,2868568	 3	 3	 6
ENSG00000058085	0.3762841	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	1,483326e-44	0,3762841	1126,45956	 1,885315e-99	0,3752569	 54,0881608	7,068946e-05	0,3754353	 54,0874379	 3	 3	 6
ENSG00000064300	0.6042159	NGFR	nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]	3,198797e-13	0,6042159	 640,40426	 1,232412e-29	0,6024703	 30,8292000	1,246672e-03	0,6026004	 30,8284783	 3	 3	 6
