ENSID	RatiosMoys_.MT1_SC._vs_.MT1_PMO.	Symbol	Description	pval_DEseq2	RatiosMoys_.MT1_SC._vs_.MT1_PMO.	Delta_DEseq2	pval_edgeR	RatiosMoys_.MT1_SC._vs_.MT1_PMO.	Delta_edgeR	pval_Voom	RatiosMoys_.MT1_SC._vs_.MT1_PMO.	Delta_Voom	Flags_.MT1_PMO.	Flags_.MT1_SC.	Flags_tot
ENSG00000004848	0.6619180	ARX	aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]				1,315208e-06	0,6619180	 2,7457298				 3	 3	 6
ENSG00000020633	0.5835287	RUNX3	RUNX family transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10473]				1,691250e-02	0,5835287	 0,4640083				 2	 0	 2
ENSG00000021488	1.5986556	SLC7A9	solute carrier family 7 member 9 [Source:HGNC Symbol;Acc:HGNC:11067]				6,752137e-03	1,5986556	 0,6071335	1,198064e-02	1,5881525	 0,6095935	 2	 3	 5
ENSG00000023445	0.6465163	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	1,114984e-03	0,6465163	  51,180483	2,836301e-06	0,6448316	 2,4142804	9,080221e-03	0,6463533	 2,4118203	 3	 3	 6
ENSG00000050730	1.7558627	TNIP3	TNFAIP3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:19315]				9,481167e-03	1,7558627	 0,4131624	2,082921e-02	1,7305674	 0,4156224	 0	 2	 2
ENSG00000054938	0.5893922	CHRDL2	chordin like 2 [Source:HGNC Symbol;Acc:HGNC:24168]				1,542753e-02	0,5893922	 0,4203632	6,595370e-03	0,6004947	 0,4179031	 2	 0	 2
ENSG00000058335	0.4827898	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1 [Source:HGNC Symbol;Acc:HGNC:9875]	2,966335e-02	0,4827898	  11,654428	1,115050e-03	0,4819211	 0,5479649	3,559095e-03	0,4948933	 0,5455048	 2	 0	 2
ENSG00000066405	1.8029545	CLDN18	claudin 18 [Source:HGNC Symbol;Acc:HGNC:2039]				2,245165e-03	1,8029545	 0,5560291				 0	 2	 2
ENSG00000069482	0.6527402	GAL	galanin and GMAP prepropeptide [Source:HGNC Symbol;Acc:HGNC:4114]				6,299112e-03	0,6527402	 0,6914671	1,842393e-02	0,6578068	 0,6890071	 3	 3	 6
ENSG00000070748	0.4968591	CHAT	choline O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:1912]	5,389970e-03	0,4968591	  21,092350	2,692263e-05	0,4960122	 0,9918652	6,713045e-03	0,5028932	 0,9894051	 3	 2	 5
ENSG00000081800	1.7073783	SLC13A1	solute carrier family 13 member 1 [Source:HGNC Symbol;Acc:HGNC:10916]				6,571891e-03	1,7073783	 0,5265648	1,832419e-02	1,6900182	 0,5290248	 1	 2	 3
ENSG00000086159	1.6184654	AQP6	aquaporin 6 [Source:HGNC Symbol;Acc:HGNC:639]	5,729898e-04	1,6184654	  48,822002	1,699068e-06	1,6157905	 2,2819468	3,843743e-03	1,6127680	 2,2844067	 3	 3	 6
ENSG00000087510	0.6491117	TFAP2C	transcription factor AP-2 gamma [Source:HGNC Symbol;Acc:HGNC:11744]				2,842086e-03	0,6491117	 0,6662250				 3	 2	 5
ENSG00000090339	0.6452002	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	5,192817e-11	0,6452002	 326,043398	1,037724e-19	0,6437983	15,3650344	7,006563e-04	0,6440393	15,3625738	 3	 3	 6
ENSG00000100385	0.5454063	IL2RB	interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009]				4,925058e-03	0,5454063	 0,5089593	1,565206e-02	0,5564357	 0,5064992	 3	 0	 3
ENSG00000100985	0.5815469	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	1,676366e-02	0,5815469	  25,769020	6,740086e-05	0,5797910	 1,2148083				 3	 3	 6
ENSG00000103089	1.6600092	FA2H	fatty acid 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:21197]				2,244357e-02	1,6600092	 0,4075879	1,348344e-02	1,6408581	 0,4100479	 1	 2	 3
ENSG00000103184	0.6157267	SEC14L5	SEC14 like lipid binding 5 [Source:HGNC Symbol;Acc:HGNC:29032]				3,265628e-02	0,6157267	 0,3414848				 2	 0	 2
ENSG00000104140	0.6488876	RHOV	ras homolog family member V [Source:HGNC Symbol;Acc:HGNC:18313]	3,039341e-02	0,6488876	  18,953954	1,545950e-03	0,6470761	 0,8944344	3,425514e-03	0,6511157	 0,8919743	 3	 3	 6
ENSG00000104689	0.6216611	TNFRSF10A	TNF receptor superfamily member 10a [Source:HGNC Symbol;Acc:HGNC:11904]				5,638395e-03	0,6216611	 0,6521432	1,344861e-02	0,6279007	 0,6496832	 3	 2	 5
ENSG00000106689	0.5385005	LHX2	LIM homeobox 2 [Source:HGNC Symbol;Acc:HGNC:6594]				2,068635e-21	0,5385005	 8,7181732				 3	 3	 6
ENSG00000110245	1.7316984	APOC3	apolipoprotein C3 [Source:HGNC Symbol;Acc:HGNC:610]				8,264297e-03	1,7316984	 0,5534197				 1	 2	 3
ENSG00000110799	1.6026434	VWF	von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726]				1,603549e-02	1,6026434	 0,4493198	2,659410e-02	1,5883509	 0,4517798	 2	 3	 5
ENSG00000111305	0.4426641	GSG1	germ cell associated 1 [Source:HGNC Symbol;Acc:HGNC:19716]	3,221306e-02	0,4426641	  14,373687	1,180319e-04	0,4415751	 0,6762719				 2	 0	 2
ENSG00000112333	0.5780204	NR2E1	nuclear receptor subfamily 2 group E member 1 [Source:HGNC Symbol;Acc:HGNC:7973]				2,380484e-06	0,5780204	 1,6275586				 3	 2	 5
ENSG00000113327	0.6541535	GABRG2	gamma-aminobutyric acid type A receptor subunit gamma2 [Source:HGNC Symbol;Acc:HGNC:4087]				1,026937e-02	0,6541535	 0,5953467	1,461012e-02	0,6599859	 0,5928867	 3	 2	 5
ENSG00000113492	1.6693856	AGXT2	alanine--glyoxylate aminotransferase 2 [Source:HGNC Symbol;Acc:HGNC:14412]	1,531771e-02	1,6693856	  21,175622	3,733235e-04	1,6668368	 0,9902845	1,002633e-02	1,6586065	 0,9927445	 3	 3	 6
ENSG00000116819	0.5845490	TFAP2E	transcription factor AP-2 epsilon [Source:HGNC Symbol;Acc:HGNC:30774]				6,072548e-06	0,5845490	 1,3475957				 3	 3	 6
ENSG00000122585	0.5806266	NPY	neuropeptide Y [Source:HGNC Symbol;Acc:HGNC:7955]				3,232038e-02	0,5806266	 0,3904921				 2	 1	 3
ENSG00000124092	1.7064967	CTCFL	CCCTC-binding factor like [Source:HGNC Symbol;Acc:HGNC:16234]				9,569013e-03	1,7064967	 0,4480500	4,766420e-02	1,6862523	 0,4505100	 1	 2	 3
ENSG00000125144	2.6118220	MT1G	metallothionein 1G [Source:HGNC Symbol;Acc:HGNC:7399]	9,849838e-34	2,6118220	 776,892590	3,756761e-90	2,6071388	36,3680952	1,709279e-04	2,6056657	36,3705534	 3	 3	 6
ENSG00000125148	2.6738430	MT2A	metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]	3,137445e-30	2,6738430	 334,024871	2,173043e-53	2,6691560	15,6364850	2,967118e-05	2,6654552	15,6389442	 3	 3	 6
ENSG00000125355	0.5984396	TMEM255A	transmembrane protein 255A [Source:HGNC Symbol;Acc:HGNC:26086]	3,380433e-04	0,5984396	  48,261459	6,437053e-07	0,5973270	 2,2720730	1,377936e-03	0,5993459	 2,2696129	 3	 3	 6
ENSG00000125730	0.4684597	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	8,619613e-11	0,4684597	1431,101413	7,928846e-81	0,4675459	67,3048629	3,059273e-04	0,4676592	67,3024002	 3	 3	 6
ENSG00000125787	1.9885262	GNRH2	gonadotropin releasing hormone 2 [Source:HGNC Symbol;Acc:HGNC:4420]				7,131709e-08	1,9885262	 1,7790278				 3	 3	 6
ENSG00000127377	1.6308560	CRYGN	crystallin gamma N [Source:HGNC Symbol;Acc:HGNC:20458]				2,214376e-02	1,6308560	 0,3734668	1,955795e-03	1,6119664	 0,3759268	 0	 2	 2
ENSG00000127928	1.5717737	GNGT1	G protein subunit gamma transducin 1 [Source:HGNC Symbol;Acc:HGNC:4411]				3,365977e-03	1,5717737	 0,7198179	2,558745e-02	1,5637449	 0,7222779	 3	 3	 6
ENSG00000129151	1.7017008	BBOX1	gamma-butyrobetaine hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:964]	2,803481e-03	1,7017008	  32,156529	2,778546e-05	1,6980180	 1,5019372	2,547067e-03	1,6919918	 1,5043971	 3	 3	 6
ENSG00000130592	0.6498433	LSP1	lymphocyte specific protein 1 [Source:HGNC Symbol;Acc:HGNC:6707]	1,030575e-02	0,6498433	  27,533774	3,592207e-04	0,6481914	 1,2986508	1,550891e-03	0,6509657	 1,2961907	 3	 3	 6
ENSG00000131095	0.5647450	GFAP	glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]				1,231819e-17	0,5647450	 8,8722402				 3	 3	 6
ENSG00000131183	1.9118543	SLC34A1	solute carrier family 34 member 1 [Source:HGNC Symbol;Acc:HGNC:11019]	3,251359e-02	1,9118543	 525,456623	3,054199e-41	1,9082444	24,5791520	4,629567e-02	1,9075877	24,5816107	 3	 3	 6
ENSG00000132429	0.6592788	POPDC3	popeye domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17649]	4,664425e-02	0,6592788	  18,802994	2,220953e-03	0,6575082	 0,8873787				 3	 3	 6
ENSG00000132530	0.4945074	XAF1	XIAP associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30932]	4,483310e-02	0,4945074	  11,258345	2,457174e-03	0,4942296	 0,5286910	2,610502e-02	0,5070950	 0,5262310	 3	 0	 3
ENSG00000132744	1.9533489	ACY3	aminoacylase 3 [Source:HGNC Symbol;Acc:HGNC:24104]	2,331423e-02	1,9533489	  14,675523	5,143854e-04	1,9502691	 0,6867521	2,026396e-02	1,9251350	 0,6892120	 1	 3	 4
ENSG00000132975	0.6109673	GPR12	G protein-coupled receptor 12 [Source:HGNC Symbol;Acc:HGNC:4466]	3,572220e-02	0,6109673	  16,841748	1,968690e-03	0,6097199	 0,7931248	9,738447e-03	0,6151522	 0,7906647	 3	 3	 6
ENSG00000134321	0.6146453	RSAD2	radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]				1,705541e-02	0,6146453	 0,4987851				 3	 1	 4
ENSG00000135638	0.6209576	EMX1	empty spiracles homeobox 1 [Source:HGNC Symbol;Acc:HGNC:3340]				1,258671e-08	0,6209576	 3,2502724				 3	 3	 6
ENSG00000136167	0.6658806	LCP1	lymphocyte cytosolic protein 1 [Source:HGNC Symbol;Acc:HGNC:6528]				1,079262e-04	0,6658806	 1,8356502				 3	 3	 6
