ENSID	RatiosMoys_.MT1_SC._vs_.WT.	Symbol	Description	pval_DEseq2	RatiosMoys_.MT1_SC._vs_.WT.	Delta_DEseq2	pval_edgeR	RatiosMoys_.MT1_SC._vs_.WT.	Delta_edgeR	pval_Voom	RatiosMoys_.MT1_SC._vs_.WT.	Delta_Voom	Flags_.WT.	Flags_.MT1_SC.	Flags_tot
ENSG00000004776	 2.323462596	HSPB6	heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]	 1,920350e-23	 2,323462596	  467,528474	 1,300942e-53	 2,323102643	 22,5171634	5,246585e-04	 2,32141157	 22,5189496	 3	 3	 6
ENSG00000004848	 2.793372223	ARX	aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]	 1,247923e-07	 2,793372223	   72,148281	 8,469023e-19	 2,792553568	  3,4751346	9,929330e-03	 2,77232824	  3,4769217	 3	 3	 6
ENSG00000005981	 2.156731138	ASB4	ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]	 5,300989e-04	 2,156731138	   29,967587	 8,290399e-08	 2,158582014	  1,4451397	5,849323e-03	 2,13889415	  1,4469269	 2	 3	 5
ENSG00000007216	 0.357450707	SLC13A2	solute carrier family 13 member 2 [Source:HGNC Symbol;Acc:HGNC:10917]	 1,619616e-08	 0,357450707	   63,275693	 9,178737e-17	 0,357670383	  3,0463552	8,811162e-04	 0,36116309	  3,0445678	 3	 3	 6
ENSG00000009765	 0.480545867	IYD	iodotyrosine deiodinase [Source:HGNC Symbol;Acc:HGNC:21071]	 4,692220e-07	 0,480545867	   77,783204	 3,996900e-13	 0,481072583	  3,7426317	2,785176e-03	 0,48297864	  3,7408442	 3	 3	 6
ENSG00000022556	 0.001954485	NLRP2	NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]	 2,528495e-26	 0,001954485	  500,658438	2,965362e-287	 0,001961793	 24,1130859	6,353694e-06	 0,00299033	 24,1112975	 3	 0	 3
ENSG00000023445	 2.393393210	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	 1,454104e-06	 2,393393210	   53,377950	 1,291373e-12	 2,392558536	  2,5684451	1,584321e-03	 2,37626700	  2,5702322	 3	 3	 6
ENSG00000064195	 2.346523783	DLX3	distal-less homeobox 3 [Source:HGNC Symbol;Acc:HGNC:2916]	 9,932025e-03	 2,346523783	   14,123049	 8,964593e-05	 2,344392390	  0,6791054	4,096138e-03	 2,28890781	  0,6808927	 0	 3	 3
ENSG00000065320	 2.111633946	NTN1	netrin 1 [Source:HGNC Symbol;Acc:HGNC:8029]	 2,670595e-03	 2,111633946	  238,453659	 1,175021e-28	 2,109423397	 11,4626590	1,324109e-02	 2,10711773	 11,4644457	 3	 3	 6
ENSG00000065328	 2.228514919	MCM10	minichromosome maintenance 10 replication initiation factor [Source:HGNC Symbol;Acc:HGNC:18043]	 1,535250e-12	 2,228514919	  134,985806	 4,884281e-21	 2,226873634	  6,4926387	3,512101e-04	 2,22187048	  6,4944257	 3	 3	 6
ENSG00000066248	 0.401511735	NGEF	neuronal guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:7807]	 5,139212e-04	 0,401511735	  179,398361	 1,367486e-29	 0,401486154	  8,6381635	2,680864e-02	 0,40256752	  8,6363758	 3	 3	 6
ENSG00000070601	 2.103967065	FRMPD1	FERM and PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29159]	 3,574187e-11	 2,103967065	  113,992652	 2,419839e-17	 2,103354106	  5,4876277	6,946698e-05	 2,09860393	  5,4894147	 3	 3	 6
ENSG00000070886	 0.493903511	EPHA8	EPH receptor A8 [Source:HGNC Symbol;Acc:HGNC:3391]	 6,727385e-08	 0,493903511	   74,820408	 1,571533e-12	 0,493642303	  3,6057072	9,800186e-06	 0,49553204	  3,6039197	 3	 3	 6
ENSG00000077009	 2.073376656	NMRK2	nicotinamide riboside kinase 2 [Source:HGNC Symbol;Acc:HGNC:17871]	 4,427444e-06	 2,073376656	   52,088426	 2,041409e-10	 2,073557780	  2,5088000	9,166864e-05	 2,06379266	  2,5105872	 3	 3	 6
ENSG00000077274	 2.078714281	CAPN6	calpain 6 [Source:HGNC Symbol;Acc:HGNC:1483]	 1,293149e-35	 2,078714281	  979,871722	 6,296010e-66	 2,078710805	 47,1874413	8,385979e-05	 2,07818152	 47,1892261	 3	 3	 6
ENSG00000077522	 2.411764061	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	 3,609772e-78	 2,411764061	 1416,113277	7,542108e-101	 2,411115482	 68,1728371	7,298346e-07	 2,41047712	 68,1746209	 3	 3	 6
ENSG00000079393	 2.152463089	DUSP13	dual specificity phosphatase 13 [Source:HGNC Symbol;Acc:HGNC:19681]	 2,874406e-03	 2,152463089	   19,926512	 9,094907e-06	 2,151696602	  0,9590276	5,084127e-05	 2,12265672	  0,9608148	 0	 3	 3
ENSG00000081189	 2.216044206	MEF2C	myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]	 1,073228e-45	 2,216044206	  902,507056	 3,536422e-72	 2,215686231	 43,4528108	1,558258e-05	 2,21494996	 43,4545958	 3	 3	 6
ENSG00000083454	 2.075796089	P2RX5	purinergic receptor P2X 5 [Source:HGNC Symbol;Acc:HGNC:8536]	 4,131840e-04	 2,075796089	   31,868247	 1,567837e-07	 2,074405295	  1,5327625	1,873635e-03	 2,05849519	  1,5345497	 3	 3	 6
ENSG00000087510	 3.351179568	TFAP2C	transcription factor AP-2 gamma [Source:HGNC Symbol;Acc:HGNC:11744]	 9,391968e-04	 3,351179568	   18,097018	 1,512330e-07	 3,348956999	  0,8705099	1,745586e-02	 3,21549291	  0,8722971	 0	 2	 2
ENSG00000089225	14.630279534	TBX5	T-box transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:11604]	 9,598524e-14	14,630279534	   52,486861	 9,145179e-35	14,604651593	  2,5256828	1,386344e-04	13,10588572	  2,5274700	 0	 3	 3
ENSG00000090339	 2.288406302	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	 2,066702e-17	 2,288406302	  326,891988	 2,644147e-40	 2,288622945	 15,7415291	8,503219e-04	 2,28633345	 15,7433155	 3	 3	 6
ENSG00000091482	 2.169635403	SMPX	small muscle protein X-linked [Source:HGNC Symbol;Acc:HGNC:11122]	 8,944865e-11	 2,169635403	  105,833528	 1,923593e-17	 2,169398357	  5,0967731	1,396881e-04	 2,16363264	  5,0985602	 3	 3	 6
ENSG00000092054	 2.451242227	MYH7	myosin heavy chain 7 [Source:HGNC Symbol;Acc:HGNC:7577]	 2,904094e-48	 2,451242227	  572,793351	 2,282522e-66	 2,450697147	 27,5770686	1,193181e-06	 2,44902791	 27,5788545	 3	 3	 6
ENSG00000092607	 2.837734118	TBX15	T-box transcription factor 15 [Source:HGNC Symbol;Acc:HGNC:11594]	 4,543404e-16	 2,837734118	  156,191722	 2,310698e-31	 2,836259728	  7,5149718	7,517324e-04	 2,82637345	  7,5167588	 3	 3	 6
ENSG00000092853	 2.039793326	CLSPN	claspin [Source:HGNC Symbol;Acc:HGNC:19715]	 2,629637e-12	 2,039793326	  135,866350	 1,704259e-18	 2,039302432	  6,5406476	6,107486e-05	 2,03577930	  6,5424346	 3	 3	 6
ENSG00000093010	 0.247204393	COMT	catechol-O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:2228]	 7,199301e-65	 0,247204393	  506,631525	5,901821e-102	 0,247197901	 24,4017613	4,506605e-06	 0,24778983	 24,3999729	 3	 3	 6
ENSG00000099251	 0.499819279	HSD17B7P2	hydroxysteroid 17-beta dehydrogenase 7 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:28120]	 2,333251e-03	 0,499819279	   26,960247							 3	 2	 5
ENSG00000100292	 2.349734020	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	 3,266264e-33	 2,349734020	  347,824423	 7,214480e-44	 2,349237442	 16,7472515	1,816657e-07	 2,34687139	 16,7490379	 3	 3	 6
ENSG00000100628	 2.646737260	ASB2	ankyrin repeat and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:16012]	 7,998220e-07	 2,646737260	   50,810089	 9,040327e-14	 2,642923745	  2,4420264	1,951393e-03	 2,61893173	  2,4438136	 3	 3	 6
ENSG00000100985	 2.555152869	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	 1,060611e-03	 2,555152869	   21,345914	 4,595471e-07	 2,552739219	  1,0261931	3,516762e-03	 2,50284281	  1,0279804	 0	 3	 3
